"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "Django HTML", "CSS", "Vue", "XML", "comment", "blank", "total"
"e:\FengRuCup\Manim_Fronted\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 12, 30
"e:\FengRuCup\Manim_Fronted\index.html", "Django HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\FengRuCup\Manim_Fronted\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\FengRuCup\Manim_Fronted\package-lock.json", "JSON", 0, 6553, 0, 0, 0, 0, 0, 0, 0, 1, 6554
"e:\FengRuCup\Manim_Fronted\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"e:\FengRuCup\Manim_Fronted\public\static\json\limit\fileList.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\FengRuCup\Manim_Fronted\public\static\json\limit\微分方程完整版.json", "JSON", 0, 2055, 0, 0, 0, 0, 0, 0, 0, 0, 2055
"e:\FengRuCup\Manim_Fronted\public\static\json\limit\极限演示1完整版.json", "JSON", 0, 5049, 0, 0, 0, 0, 0, 0, 0, 0, 5049
"e:\FengRuCup\Manim_Fronted\public\static\json\limit\极限演示2完整版.json", "JSON", 0, 8078, 0, 0, 0, 0, 0, 0, 0, 0, 8078
"e:\FengRuCup\Manim_Fronted\public\static\json\limit\泰勒展开完整版.json", "JSON", 0, 3590, 0, 0, 0, 0, 0, 0, 0, 0, 3590
"e:\FengRuCup\Manim_Fronted\public\static\json\point\fileList.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\FengRuCup\Manim_Fronted\public\static\json\point\积分1完整版.json", "JSON", 0, 2942, 0, 0, 0, 0, 0, 0, 0, 0, 2942
"e:\FengRuCup\Manim_Fronted\public\static\json\point\积分2完整版.json", "JSON", 0, 2019, 0, 0, 0, 0, 0, 0, 0, 0, 2019
"e:\FengRuCup\Manim_Fronted\public\static\json\point\高阶导数完整版.json", "JSON", 0, 6889, 0, 0, 0, 0, 0, 0, 0, 0, 6889
"e:\FengRuCup\Manim_Fronted\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"e:\FengRuCup\Manim_Fronted\src\api\ai.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\FengRuCup\Manim_Fronted\src\api\api.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 1, 5, 58
"e:\FengRuCup\Manim_Fronted\src\api\main.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"e:\FengRuCup\Manim_Fronted\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 0, 2, 14, 87
"e:\FengRuCup\Manim_Fronted\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\FengRuCup\Manim_Fronted\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"e:\FengRuCup\Manim_Fronted\src\components\AnimationNode.vue", "Vue", 0, 0, 0, 0, 0, 0, 297, 0, 16, 21, 334
"e:\FengRuCup\Manim_Fronted\src\components\FunctionNode.vue", "Vue", 0, 0, 0, 0, 0, 0, 93, 0, 6, 10, 109
"e:\FengRuCup\Manim_Fronted\src\components\GenerateNode.vue", "Vue", 0, 0, 0, 0, 0, 0, 394, 0, 22, 22, 438
"e:\FengRuCup\Manim_Fronted\src\components\NavigationBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"e:\FengRuCup\Manim_Fronted\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"e:\FengRuCup\Manim_Fronted\src\router\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"e:\FengRuCup\Manim_Fronted\src\store\index.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 2, 2, 34
"e:\FengRuCup\Manim_Fronted\src\views\AI.vue", "Vue", 0, 0, 0, 0, 0, 0, 702, 0, 13, 93, 808
"e:\FengRuCup\Manim_Fronted\src\views\Main.vue", "Vue", 0, 0, 0, 0, 0, 0, 3138, 0, 364, 249, 3751
"e:\FengRuCup\Manim_Fronted\vite.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"e:\FengRuCup\Manim_Fronted\产品文档.md", "Markdown", 0, 0, 0, 551, 0, 0, 0, 0, 0, 159, 710
"Total", "-", 182, 37218, 8, 569, 13, 101, 4660, 1, 430, 634, 43816
